iter	Logloss
0	0.6899887849
10	0.6751028461
20	0.670077319
30	0.6675092315
40	0.6659400398
50	0.6647298354
60	0.663734005
70	0.6630144975
80	0.6623693486
90	0.6617912409
100	0.6613307521
110	0.660931273
120	0.6605403964
130	0.6601685545
140	0.6598573266
150	0.6595718078
160	0.6593896196
170	0.659217715
180	0.6590506555
190	0.6589182539
200	0.6588109186
210	0.6586081631
220	0.6584206354
230	0.658259311
240	0.6581238935
250	0.6580160638
260	0.657874664
270	0.6577186793
280	0.6576346799
290	0.6575146383
300	0.6574440373
310	0.657412692
320	0.6573684922
330	0.6572903763
340	0.6572309982
350	0.6572002463
360	0.657151053
370	0.6571390884
380	0.6571395333
390	0.6571399289
400	0.6571396322
410	0.6571397805
420	0.65713894
430	0.6571390884
431	0.6571390389
