iter	Logloss
0	0.690007186
10	0.6751875445
20	0.6699947885
30	0.6674315163
40	0.6657965533
50	0.6645438304
60	0.6636515937
70	0.662859347
80	0.66219897
90	0.6616448719
100	0.6611321067
110	0.6607044201
120	0.6603132804
130	0.6599581735
140	0.6596302
150	0.6593349763
160	0.6590845662
170	0.658828421
180	0.6586045114
190	0.6583622097
200	0.6581494936
210	0.6579269684
220	0.6577369953
230	0.6575499887
240	0.6573668187
250	0.6571994304
260	0.6570439475
270	0.6569085971
280	0.6567630421
290	0.6566117914
300	0.6564664341
310	0.6563323889
320	0.6562068477
330	0.6560740287
340	0.6559433851
350	0.6558125042
360	0.6556958624
370	0.6555874871
380	0.6554784395
390	0.6553708553
400	0.6552567844
410	0.6551606706
420	0.6550466789
430	0.6549490621
431	0.6549383827
