iter	Passed	Remaining
0	446	192263
1	630	135647
2	824	117863
3	1009	108056
4	1191	101777
5	1364	96905
6	1535	93218
7	1721	91237
8	1918	90171
9	2117	89338
10	2292	87737
11	2456	85988
12	2627	84689
13	2814	84044
14	2977	82777
15	3182	82739
16	3363	82111
17	3546	81565
18	3708	80605
19	3876	79863
20	4062	79503
21	4245	79125
22	4432	78817
23	4612	78416
24	4791	77997
25	4975	77692
26	5173	77598
27	5336	76997
28	5516	76660
29	5706	76469
30	5892	76221
31	6080	76009
32	6277	75897
33	6463	75659
34	6656	75502
35	6815	74975
36	7001	74750
37	7179	74437
38	7376	74334
39	7549	73985
40	7731	73729
41	7909	73448
42	8088	73175
43	8260	72843
44	8439	72580
45	8630	72422
46	8807	72146
47	8987	71902
48	9188	71824
49	9367	71568
50	9545	71307
51	9726	71079
52	9906	70839
53	10080	70565
54	10250	70262
55	10440	70097
56	10626	69910
57	10831	69845
58	11058	69914
59	11248	69737
60	11454	69665
61	11623	69365
62	11798	69104
63	11995	68972
64	12183	68791
65	12363	68562
66	12552	68382
67	12743	68215
68	12908	67908
69	13106	67779
70	13285	67549
71	13462	67311
72	13641	67086
73	13817	66847
74	13986	66574
75	14167	66363
76	14360	66206
77	14549	66032
78	14739	65861
79	14916	65630
80	15087	65379
81	15292	65273
82	15476	65075
83	15657	64867
84	15833	64639
85	16009	64408
86	16182	64172
87	16361	63959
88	16549	63782
89	16743	63623
90	16923	63417
91	17105	63217
92	17288	63021
93	17486	62876
94	17673	62692
95	17851	62479
96	18043	62315
97	18220	62097
98	18396	61878
99	18581	61690
100	18754	61463
101	18931	61250
102	19106	61031
103	19288	60832
104	19453	60583
105	19628	60366
106	19814	60185
107	19987	59962
108	20169	59767
109	20333	59520
110	20520	59344
111	20704	59155
112	20876	58935
113	21054	58732
114	21251	58579
115	21425	58367
116	21603	58163
117	21789	57982
118	21958	57757
119	22130	57539
120	22315	57356
121	22509	57197
122	22689	56999
123	22881	56834
124	23052	56617
125	23220	56392
126	23389	56171
127	23577	55996
128	23755	55797
129	23945	55627
130	24145	55479
131	24326	55288
132	24495	55069
133	24666	54855
134	24853	54678
135	25037	54492
136	25228	54323
137	25420	54156
138	25617	53998
139	25796	53804
140	25989	53637
141	26172	53450
142	26348	53250
143	26525	53050
144	26700	52847
145	26878	52652
146	27054	52453
147	27232	52256
148	27413	52067
149	27593	51874
150	27774	51685
151	27947	51481
152	28128	51292
153	28303	51093
154	28489	50913
155	28659	50705
156	28822	50485
157	28984	50264
158	29154	50057
159	29337	49874
160	29511	49674
161	29687	49478
162	29862	49282
163	30037	49085
164	30210	48886
165	30397	48708
166	30572	48513
167	30748	48319
168	30933	48139
169	31095	47924
170	31277	47739
171	31455	47548
172	31645	47376
173	31837	47208
174	32002	46998
175	32185	46815
176	32363	46624
177	32532	46423
178	32716	46242
179	32894	46051
180	33081	45875
181	33256	45682
182	33445	45507
183	33623	45318
184	33785	45107
185	33965	44922
186	34150	44742
187	34320	44544
188	34501	44358
189	34687	44180
190	34859	43984
191	35018	43773
192	35181	43567
193	35363	43383
194	35541	43197
195	35712	43000
196	35895	42820
197	36068	42626
198	36250	42444
199	36436	42265
200	36613	42078
201	36792	41892
202	36978	41714
203	37154	41525
204	37332	41339
205	37510	41152
206	37690	40967
207	37869	40783
208	38049	40597
209	38229	40413
210	38414	40235
211	38586	40042
212	38767	39859
213	38953	39681
214	39142	39506
215	39340	39340
216	39530	39166
217	39710	38981
218	39890	38797
219	40060	38603
220	40231	38411
221	40408	38224
222	40575	38028
223	40753	37842
224	40932	37658
225	41103	37466
226	41279	37278
227	41467	37102
228	41638	36910
229	41814	36723
230	41987	36534
231	42170	36354
232	42360	36179
233	42535	35991
234	42721	35813
235	42901	35629
236	43081	35447
237	43264	35265
238	43434	35074
239	43614	34891
240	43796	34709
241	43964	34517
242	44142	34333
243	44325	34152
244	44504	33968
245	44692	33792
246	44881	33616
247	45050	33424
248	45224	33237
249	45402	33053
250	45566	32858
251	45735	32668
252	45913	32483
253	46092	32300
254	46269	32116
255	46450	31934
256	46629	31751
257	46813	31572
258	46989	31386
259	47183	31213
260	47360	31029
261	47525	30836
262	47705	30654
263	47892	30477
264	48069	30292
265	48256	30114
266	48432	29930
267	48616	29750
268	48795	29567
269	48975	29385
270	49157	29204
271	49367	29039
272	49545	28856
273	49723	28672
274	49910	28494
275	50086	28309
276	50262	28125
277	50438	27940
278	50618	27758
279	50801	27577
280	50974	27392
281	51159	27212
282	51345	27033
283	51531	26854
284	51709	26671
285	51882	26485
286	52072	26308
287	52268	26134
288	52444	25950
289	52617	25764
290	52794	25580
291	52963	25393
292	53148	25213
293	53334	25034
294	53522	24856
295	53709	24677
296	53919	24509
297	54100	24327
298	54290	24149
299	54465	23965
300	54661	23789
301	54858	23614
302	55061	23441
303	55254	23264
304	55455	23091
305	55642	22911
306	55824	22729
307	55987	22540
308	56170	22358
309	56362	22181
310	56567	22008
311	56755	21829
312	56955	21653
313	57140	21473
314	57315	21288
315	57511	21111
316	57710	20935
317	57881	20750
318	58086	20575
319	58270	20394
320	58478	20221
321	58664	20040
322	58845	19857
323	59025	19675
324	59219	19497
325	59424	19322
326	59611	19141
327	59807	18963
328	60003	18785
329	60178	18600
330	60348	18414
331	60546	18237
332	60743	18058
333	60935	17879
334	61106	17693
335	61297	17513
336	61491	17334
337	61690	17156
338	61878	16975
339	62061	16793
340	62239	16609
341	62430	16429
342	62597	16242
343	62782	16060
344	62981	15882
345	63162	15699
346	63344	15516
347	63519	15332
348	63702	15149
349	63886	14967
350	64072	14786
351	64250	14602
352	64436	14420
353	64644	14243
354	64838	14063
355	65021	13881
356	65209	13699
357	65390	13516
358	65579	13335
359	65772	13154
360	65959	12972
361	66143	12790
362	66326	12607
363	66514	12425
364	66710	12245
365	66898	12063
366	67077	11880
367	67254	11696
368	67425	11511
369	67599	11327
370	67783	11145
371	67975	10963
372	68160	10781
373	68340	10598
374	68514	10414
375	68703	10232
376	68889	10050
377	69080	9868
378	69253	9684
379	69424	9500
380	69608	9317
381	69814	9137
382	69987	8954
383	70153	8769
384	70339	8586
385	70530	8405
386	70725	8223
387	70909	8041
388	71092	7858
389	71282	7676
390	71467	7494
391	71637	7309
392	71814	7126
393	71992	6943
394	72177	6760
395	72361	6578
396	72547	6395
397	72726	6212
398	72907	6029
399	73083	5846
400	73273	5664
401	73459	5482
402	73657	5300
403	73848	5118
404	74024	4934
405	74212	4752
406	74402	4570
407	74611	4388
408	74810	4206
409	74998	4024
410	75178	3841
411	75381	3659
412	75547	3475
413	75729	3292
414	75911	3109
415	76105	2927
416	76294	2744
417	76482	2561
418	76664	2378
419	76835	2195
420	77021	2012
421	77201	1829
422	77375	1646
423	77565	1463
